"key","value"
401,4003
"p",1
"x",0.4500246184145741
"s",0.8028064992614475
"n",0.8778926637124569
"t",0.7602166420482521
"f",1
"c",0.8552437223042836
"k",0.6469719350073855
"e",0.9645494830132939
"w",0.9763663220088626
"o",0.9217134416543574
"y",0.5910881339241753
"b",0.9470704086656819
"g",0.5209256523879862
"v",0.49729197439684886
"k-p",0.6469719350073855
"k-n",0.5603151157065485
"k-b",0.6166912850812407
"k-f",0.6469719350073855
"k-c",0.5573609059576563
"k-o",0.604628261939931
"k-e",0.6469719350073855
"k-s",0.4544559330379124
"k-t",0.4517479074347612
"k-w",0.6410635155096012
"k-y",0.40952732644017725
"p-g",0.5209256523879862
"p-n",0.8778926637124569
"p-b",0.9470704086656819
"p-f",1
"p-c",0.8552437223042836
"p-o",0.9217134416543574
"p-e",0.9645494830132939
"p-s",0.8028064992614475
"p-t",0.7602166420482521
"p-v",0.49729197439684886
"p-w",0.9763663220088626
"p-x",0.4500246184145741
"p-y",0.5910881339241753
"g-n",0.4322993599212211
"g-b",0.4977843426883309
"g-f",0.5209256523879862
"g-o",0.47858197932053176
"g-e",0.49729197439684886
"g-w",0.5209256523879862
"n-b",0.8249630723781388
"n-f",0.8778926637124569
"n-c",0.7331363860167405
"n-o",0.7996061053668144
"n-e",0.8778926637124569
"n-s",0.7516001969473166
"n-t",0.7090103397341211
"n-v",0.4441161989167898
"n-w",0.8542589857213195
"n-y",0.516248153618907
"b-f",0.9470704086656819
"b-c",0.8023141309699655
"b-o",0.8687838503200394
"b-e",0.9116198916789758
"b-s",0.7535696701132447
"b-t",0.7287050713934022
"b-v",0.46971935007385524
"b-w",0.9234367306745446
"b-x",0.4263909404234367
"b-y",0.5598227474150664
"f-c",0.8552437223042836
"f-o",0.9217134416543574
"f-e",0.9645494830132939
"f-s",0.8028064992614475
"f-t",0.7602166420482521
"f-v",0.49729197439684886
"f-w",0.9763663220088626
"f-x",0.4500246184145741
"f-y",0.5910881339241753
"c-o",0.8124076809453471
"c-e",0.8197932053175776
"c-s",0.6669128508124077
"c-t",0.6184145741014279
"c-v",0.48252092565238797
"c-w",0.8316100443131462
"c-y",0.5837026095519449
"o-e",0.8862629246676514
"o-s",0.7321516494337764
"o-t",0.6863613983259478
"o-v",0.48645987198424423
"o-w",0.8980797636632201
"o-x",0.4263909404234367
"o-y",0.5654849827671098
"e-s",0.7673559822747416
"e-t",0.724766125061546
"e-v",0.4795667159034958
"e-w",0.9409158050221565
"e-x",0.4322993599212211
"e-y",0.5910881339241753
"s-t",0.7333825701624815
"s-w",0.7791728212703102
"s-y",0.42269817823732153
"t-w",0.7602166420482521
"t-y",0.4155588380108321
"v-w",0.4854751354012802
"w-x",0.4441161989167898
"w-y",0.5792712949286066
"k-p-n",0.5603151157065485
"k-p-b",0.6166912850812407
"k-p-f",0.6469719350073855
"k-p-c",0.5573609059576563
"k-p-o",0.604628261939931
"k-p-e",0.6469719350073855
"k-p-s",0.4544559330379124
"k-p-t",0.4517479074347612
"k-p-w",0.6410635155096012
"k-p-y",0.40952732644017725
"k-n-b",0.5300344657804037
"k-n-f",0.5603151157065485
"k-n-c",0.4707040866568193
"k-n-o",0.517971442639094
"k-n-e",0.5603151157065485
"k-n-s",0.43870014771048743
"k-n-t",0.4359921221073363
"k-n-w",0.5544066962087641
"k-b-f",0.6166912850812407
"k-b-c",0.5270802560315115
"k-b-o",0.5743476120137863
"k-b-e",0.6166912850812407
"k-b-s",0.4273756770064008
"k-b-t",0.4320531757754801
"k-b-w",0.6107828655834564
"k-f-c",0.5573609059576563
"k-f-o",0.604628261939931
"k-f-e",0.6469719350073855
"k-f-s",0.4544559330379124
"k-f-t",0.4517479074347612
"k-f-w",0.6410635155096012
"k-f-y",0.40952732644017725
"k-c-o",0.5445593303791236
"k-c-e",0.5573609059576563
"k-c-w",0.551452486459872
"k-c-y",0.4090349581486952
"k-o-e",0.604628261939931
"k-o-s",0.4190054160512063
"k-o-t",0.413835548990645
"k-o-w",0.5987198424421467
"k-o-y",0.40066469719350073
"k-e-s",0.4544559330379124
"k-e-t",0.4517479074347612
"k-e-w",0.6410635155096012
"k-e-y",0.40952732644017725
"k-s-t",0.4278680452978828
"k-s-w",0.448547513540128
"k-t-w",0.4517479074347612
"k-w-y",0.4065731166912851
"p-g-n",0.4322993599212211
"p-g-b",0.4977843426883309
"p-g-f",0.5209256523879862
"p-g-o",0.47858197932053176
"p-g-e",0.49729197439684886
"p-g-w",0.5209256523879862
"p-n-b",0.8249630723781388
"p-n-f",0.8778926637124569
"p-n-c",0.7331363860167405
"p-n-o",0.7996061053668144
"p-n-e",0.8778926637124569
"p-n-s",0.7516001969473166
"p-n-t",0.7090103397341211
"p-n-v",0.4441161989167898
"p-n-w",0.8542589857213195
"p-n-y",0.516248153618907
"p-b-f",0.9470704086656819
"p-b-c",0.8023141309699655
"p-b-o",0.8687838503200394
"p-b-e",0.9116198916789758
"p-b-s",0.7535696701132447
"p-b-t",0.7287050713934022
"p-b-v",0.46971935007385524
"p-b-w",0.9234367306745446
"p-b-x",0.4263909404234367
"p-b-y",0.5598227474150664
"p-f-c",0.8552437223042836
"p-f-o",0.9217134416543574
"p-f-e",0.9645494830132939
"p-f-s",0.8028064992614475
"p-f-t",0.7602166420482521
"p-f-v",0.49729197439684886
"p-f-w",0.9763663220088626
"p-f-x",0.4500246184145741
"p-f-y",0.5910881339241753
"p-c-o",0.8124076809453471
"p-c-e",0.8197932053175776
"p-c-s",0.6669128508124077
"p-c-t",0.6184145741014279
"p-c-v",0.48252092565238797
"p-c-w",0.8316100443131462
"p-c-y",0.5837026095519449
"p-o-e",0.8862629246676514
"p-o-s",0.7321516494337764
"p-o-t",0.6863613983259478
