"itemSet","support"
699,516728
["p"],1
["x"],0.4500246184145741
["s"],0.8028064992614475
["n"],0.8778926637124569
["t"],0.7602166420482521
["f"],1
["c"],0.8552437223042836
["k"],0.6469719350073855
["e"],0.9645494830132939
["w"],0.9763663220088626
["o"],0.9217134416543574
["y"],0.5910881339241753
["b"],0.9470704086656819
["g"],0.5209256523879862
["l"],0.31117676021664203
["v"],0.49729197439684886
["d"],0.38749384539635645
["?"],0.3052683407188577
["p","x"],0.4500246184145741
["p","s"],0.8028064992614475
["n","p"],0.8778926637124569
["p","t"],0.7602166420482521
["f","p"],1
["c","p"],0.8552437223042836
["k","p"],0.6469719350073855
["e","p"],0.9645494830132939
["p","w"],0.9763663220088626
["o","p"],0.9217134416543574
["p","y"],0.5910881339241753
["b","p"],0.9470704086656819
["g","p"],0.5209256523879862
["l","p"],0.31117676021664203
["p","v"],0.49729197439684886
["d","p"],0.38749384539635645
["?","p"],0.3052683407188577
["s","x"],0.35745937961595275
["n","x"],0.3889709502708026
["t","x"],0.3293943870014771
["f","x"],0.4500246184145741
["c","x"],0.38404726735598227
["e","x"],0.4322993599212211
["w","x"],0.4441161989167898
["o","x"],0.4263909404234367
["b","x"],0.4263909404234367
["n","s"],0.7516001969473166
["s","t"],0.7333825701624815
["f","s"],0.8028064992614475
["c","s"],0.6669128508124077
["k","s"],0.4544559330379124
["e","s"],0.7673559822747416
["s","w"],0.7791728212703102
["o","s"],0.7321516494337764
["s","y"],0.42269817823732153
["b","s"],0.7535696701132447
["g","s"],0.38872476612506157
["s","v"],0.39438700147710487
["d","s"],0.31954702117183653
["n","t"],0.7090103397341211
["f","n"],0.8778926637124569
["c","n"],0.7331363860167405
["k","n"],0.5603151157065485
["e","n"],0.8778926637124569
["n","w"],0.8542589857213195
["n","o"],0.7996061053668144
["n","y"],0.516248153618907
["b","n"],0.8249630723781388
["g","n"],0.4322993599212211
["n","v"],0.4441161989167898
["d","n"],0.3638601674052191
["?","n"],0.3052683407188577
["f","t"],0.7602166420482521
["c","t"],0.6184145741014279
["k","t"],0.4517479074347612
["e","t"],0.724766125061546
["t","w"],0.7602166420482521
["o","t"],0.6863613983259478
["t","y"],0.4155588380108321
["b","t"],0.7287050713934022
["g","t"],0.3776464795667159
["t","v"],0.37518463810930575
["c","f"],0.8552437223042836
["f","k"],0.6469719350073855
["e","f"],0.9645494830132939
["f","w"],0.9763663220088626
["f","o"],0.9217134416543574
["f","y"],0.5910881339241753
["b","f"],0.9470704086656819
["f","g"],0.5209256523879862
["f","l"],0.31117676021664203
["f","v"],0.49729197439684886
["d","f"],0.38749384539635645
["?","f"],0.3052683407188577
["c","k"],0.5573609059576563
["c","e"],0.8197932053175776
["c","w"],0.8316100443131462
["c","o"],0.8124076809453471
["c","y"],0.5837026095519449
["b","c"],0.8023141309699655
["c","g"],0.3909404234367307
["c","l"],0.3023141309699655
["c","v"],0.48252092565238797
["c","d"],0.37567700640078777
["e","k"],0.6469719350073855
["k","w"],0.6410635155096012
["k","o"],0.604628261939931
["k","y"],0.40952732644017725
["b","k"],0.6166912850812407
["g","k"],0.33739537173806006
["k","v"],0.33850320039389464
["e","w"],0.9409158050221565
["e","o"],0.8862629246676514
["e","y"],0.5910881339241753
["b","e"],0.9116198916789758
["e","g"],0.49729197439684886
["e","l"],0.31117676021664203
["e","v"],0.4795667159034958
["d","e"],0.38749384539635645
["?","e"],0.3052683407188577
["o","w"],0.8980797636632201
["w","y"],0.5792712949286066
["b","w"],0.9234367306745446
["g","w"],0.5209256523879862
["v","w"],0.4854751354012802
["d","w"],0.38749384539635645
["o","y"],0.5654849827671098
["b","o"],0.8687838503200394
["g","o"],0.47858197932053176
["l","o"],0.31117676021664203
["o","v"],0.48645987198424423
["d","o"],0.38207779419005417
["b","y"],0.5598227474150664
["b","g"],0.4977843426883309
["b","l"],0.310438207779419
["b","v"],0.46971935007385524
["b","d"],0.37863121614968
["p","s","x"],0.35745937961595275
["n","p","x"],0.3889709502708026
["p","t","x"],0.3293943870014771
["f","p","x"],0.4500246184145741
["c","p","x"],0.38404726735598227
["e","p","x"],0.4322993599212211
["p","w","x"],0.4441161989167898
["o","p","x"],0.4263909404234367
["b","p","x"],0.4263909404234367
["n","p","s"],0.7516001969473166
["p","s","t"],0.7333825701624815
["f","p","s"],0.8028064992614475
["c","p","s"],0.6669128508124077
["k","p","s"],0.4544559330379124
["e","p","s"],0.7673559822747416
["p","s","w"],0.7791728212703102
["o","p","s"],0.7321516494337764
["p","s","y"],0.42269817823732153
["b","p","s"],0.7535696701132447
["g","p","s"],0.38872476612506157
["p","s","v"],0.39438700147710487
["d","p","s"],0.31954702117183653
["n","p","t"],0.7090103397341211
["f","n","p"],0.8778926637124569
["c","n","p"],0.7331363860167405
["k","n","p"],0.5603151157065485
["e","n","p"],0.8778926637124569
["n","p","w"],0.8542589857213195
["n","o","p"],0.7996061053668144
["n","p","y"],0.516248153618907
["b","n","p"],0.8249630723781388
["g","n","p"],0.4322993599212211
["n","p","v"],0.4441161989167898
["d","n","p"],0.3638601674052191
["?","n","p"],0.3052683407188577
["f","p","t"],0.7602166420482521
["c","p","t"],0.6184145741014279
["k","p","t"],0.4517479074347612
["e","p","t"],0.724766125061546
["p","t","w"],0.7602166420482521
["o","p","t"],0.6863613983259478
["p","t","y"],0.4155588380108321
["b","p","t"],0.7287050713934022
["g","p","t"],0.3776464795667159
["p","t","v"],0.37518463810930575
["c","f","p"],0.8552437223042836
["f","k","p"],0.6469719350073855
["e","f","p"],0.9645494830132939
["f","p","w"],0.9763663220088626
["f","o","p"],0.9217134416543574
["f","p","y"],0.5910881339241753
["b","f","p"],0.9470704086656819
["f","g","p"],0.5209256523879862
["f","l","p"],0.31117676021664203
["f","p","v"],0.49729197439684886
["d","f","p"],0.38749384539635645
["?","f","p"],0.3052683407188577
["c","k","p"],0.5573609059576563
["c","e","p"],0.8197932053175776
["c","p","w"],0.8316100443131462
["c","o","p"],0.8124076809453471
["c","p","y"],0.5837026095519449
["b","c","p"],0.8023141309699655
["c","g","p"],0.3909404234367307
["c","l","p"],0.3023141309699655
["c","p","v"],0.48252092565238797
["c","d","p"],0.37567700640078777
["e","k","p"],0.6469719350073855
["k","p","w"],0.6410635155096012
["k","o","p"],0.604628261939931
["k","p","y"],0.40952732644017725
["b","k","p"],0.6166912850812407
["g","k","p"],0.33739537173806006
["k","p","v"],0.33850320039389464
["e","p","w"],0.9409158050221565
["e","o","p"],0.8862629246676514
["e","p","y"],0.5910881339241753
["b","e","p"],0.9116198916789758
["e","g","p"],0.49729197439684886
["e","l","p"],0.31117676021664203
["e","p","v"],0.4795667159034958
["d","e","p"],0.38749384539635645
["?","e","p"],0.3052683407188577
["o","p","w"],0.8980797636632201
["p","w","y"],0.5792712949286066
["b","p","w"],0.9234367306745446
["g","p","w"],0.5209256523879862
["p","v","w"],0.4854751354012802
["d","p","w"],0.38749384539635645
