"itemSet","support"
703,29403
["p"],1
["s"],0.8028064992614475
["n"],0.8778926637124569
["t"],0.7602166420482521
["f"],1
["c"],0.8552437223042836
["e"],0.9645494830132939
["w"],0.9763663220088626
["o"],0.9217134416543574
["b"],0.9470704086656819
["p","s"],0.8028064992614475
["n","p"],0.8778926637124569
["p","t"],0.7602166420482521
["f","p"],1
["c","p"],0.8552437223042836
["e","p"],0.9645494830132939
["p","w"],0.9763663220088626
["o","p"],0.9217134416543574
["b","p"],0.9470704086656819
["n","s"],0.7516001969473166
["s","t"],0.7333825701624815
["f","s"],0.8028064992614475
["e","s"],0.7673559822747416
["s","w"],0.7791728212703102
["o","s"],0.7321516494337764
["b","s"],0.7535696701132447
["n","t"],0.7090103397341211
["f","n"],0.8778926637124569
["c","n"],0.7331363860167405
["e","n"],0.8778926637124569
["n","w"],0.8542589857213195
["n","o"],0.7996061053668144
["b","n"],0.8249630723781388
["f","t"],0.7602166420482521
["e","t"],0.724766125061546
["t","w"],0.7602166420482521
["b","t"],0.7287050713934022
["c","f"],0.8552437223042836
["e","f"],0.9645494830132939
["f","w"],0.9763663220088626
["f","o"],0.9217134416543574
["b","f"],0.9470704086656819
["c","e"],0.8197932053175776
["c","w"],0.8316100443131462
["c","o"],0.8124076809453471
["b","c"],0.8023141309699655
["e","w"],0.9409158050221565
["e","o"],0.8862629246676514
["b","e"],0.9116198916789758
["o","w"],0.8980797636632201
["b","w"],0.9234367306745446
["b","o"],0.8687838503200394
["n","p","s"],0.7516001969473166
["p","s","t"],0.7333825701624815
["f","p","s"],0.8028064992614475
["e","p","s"],0.7673559822747416
["p","s","w"],0.7791728212703102
["o","p","s"],0.7321516494337764
["b","p","s"],0.7535696701132447
["n","p","t"],0.7090103397341211
["f","n","p"],0.8778926637124569
["c","n","p"],0.7331363860167405
["e","n","p"],0.8778926637124569
["n","p","w"],0.8542589857213195
["n","o","p"],0.7996061053668144
["b","n","p"],0.8249630723781388
["f","p","t"],0.7602166420482521
["e","p","t"],0.724766125061546
["p","t","w"],0.7602166420482521
["b","p","t"],0.7287050713934022
["c","f","p"],0.8552437223042836
["e","f","p"],0.9645494830132939
["f","p","w"],0.9763663220088626
["f","o","p"],0.9217134416543574
["b","f","p"],0.9470704086656819
["c","e","p"],0.8197932053175776
["c","p","w"],0.8316100443131462
["c","o","p"],0.8124076809453471
["b","c","p"],0.8023141309699655
["e","p","w"],0.9409158050221565
["e","o","p"],0.8862629246676514
["b","e","p"],0.9116198916789758
["o","p","w"],0.8980797636632201
["b","p","w"],0.9234367306745446
["b","o","p"],0.8687838503200394
["f","n","s"],0.7516001969473166
["e","n","s"],0.7516001969473166
["n","s","w"],0.7279665189561793
["b","n","s"],0.7023633677991138
["f","s","t"],0.7333825701624815
["s","t","w"],0.7333825701624815
["b","s","t"],0.7018709995076317
["e","f","s"],0.7673559822747416
["f","s","w"],0.7791728212703102
["f","o","s"],0.7321516494337764
["b","f","s"],0.7535696701132447
["e","s","w"],0.7437223042836041
["b","e","s"],0.7181191531265386
["o","s","w"],0.7085179714426391
["b","s","w"],0.7299359921221074
["f","n","t"],0.7090103397341211
["e","n","t"],0.7090103397341211
["n","t","w"],0.7090103397341211
["c","f","n"],0.7331363860167405
["e","f","n"],0.8778926637124569
["f","n","w"],0.8542589857213195
["f","n","o"],0.7996061053668144
["b","f","n"],0.8249630723781388
["c","e","n"],0.7331363860167405
["c","n","w"],0.7095027080256031
["e","n","w"],0.8542589857213195
["e","n","o"],0.7996061053668144
["b","e","n"],0.8249630723781388
["n","o","w"],0.775972427375677
["b","n","w"],0.8013293943870015
["b","n","o"],0.7466765140324964
["e","f","t"],0.724766125061546
["f","t","w"],0.7602166420482521
["b","f","t"],0.7287050713934022
["e","t","w"],0.724766125061546
["b","t","w"],0.7287050713934022
["c","e","f"],0.8197932053175776
["c","f","w"],0.8316100443131462
["c","f","o"],0.8124076809453471
["b","c","f"],0.8023141309699655
["e","f","w"],0.9409158050221565
["e","f","o"],0.8862629246676514
["b","e","f"],0.9116198916789758
["f","o","w"],0.8980797636632201
["b","f","w"],0.9234367306745446
["b","f","o"],0.8687838503200394
["c","e","w"],0.7961595273264401
["c","e","o"],0.7769571639586411
["b","c","e"],0.7668636139832595
["c","o","w"],0.7887740029542097
["b","c","w"],0.7786804529788282
["b","c","o"],0.759478089611029
["e","o","w"],0.8626292466765141
["b","e","w"],0.8879862136878385
["b","e","o"],0.8333333333333334
["b","o","w"],0.845150172328902
["f","n","p","s"],0.7516001969473166
["e","n","p","s"],0.7516001969473166
["n","p","s","w"],0.7279665189561793
["b","n","p","s"],0.7023633677991138
["f","p","s","t"],0.7333825701624815
["p","s","t","w"],0.7333825701624815
["b","p","s","t"],0.7018709995076317
["e","f","p","s"],0.7673559822747416
["f","p","s","w"],0.7791728212703102
["f","o","p","s"],0.7321516494337764
["b","f","p","s"],0.7535696701132447
["e","p","s","w"],0.7437223042836041
["b","e","p","s"],0.7181191531265386
["o","p","s","w"],0.7085179714426391
["b","p","s","w"],0.7299359921221074
["f","n","p","t"],0.7090103397341211
["e","n","p","t"],0.7090103397341211
["n","p","t","w"],0.7090103397341211
["c","f","n","p"],0.7331363860167405
["e","f","n","p"],0.8778926637124569
["f","n","p","w"],0.8542589857213195
["f","n","o","p"],0.7996061053668144
["b","f","n","p"],0.8249630723781388
["c","e","n","p"],0.7331363860167405
["c","n","p","w"],0.7095027080256031
["e","n","p","w"],0.8542589857213195
["e","n","o","p"],0.7996061053668144
["b","e","n","p"],0.8249630723781388
["n","o","p","w"],0.775972427375677
["b","n","p","w"],0.8013293943870015
["b","n","o","p"],0.7466765140324964
["e","f","p","t"],0.724766125061546
["f","p","t","w"],0.7602166420482521
["b","f","p","t"],0.7287050713934022
["e","p","t","w"],0.724766125061546
