"method","dataName","minSupport","time"
"./apriori/I8-bit-improve-apriori-one-ab-c-rm-dup-bit-num-filter-citem-origin-concat","T1014D100K",0.02,2001
"./apriori/I8-bit-improve-apriori-one-ab-c-rm-dup-bit-num-filter-citem-origin-concat","T1014D100K",0.04,1084
"./apriori/I8-bit-improve-apriori-one-ab-c-rm-dup-bit-num-filter-citem-origin-concat","T1014D100K",0.06,1000
"./apriori/I8-bit-improve-apriori-one-ab-c-rm-dup-bit-num-filter-citem-origin-concat","T1014D100K",0.08,883
"./apriori/I8-bit-improve-apriori-one-ab-c-rm-dup-bit-num-filter-citem-origin-concat","T1014D100K",0.1,808
"./apriori/I8-bit-improve-apriori-one-ab-c-rm-dup-bit-num-filter-citem-origin-concat","mush-data",0.3,9236
"./apriori/I8-bit-improve-apriori-one-ab-c-rm-dup-bit-num-filter-citem-origin-concat","mush-data",0.4,2800
"./apriori/I8-bit-improve-apriori-one-ab-c-rm-dup-bit-num-filter-citem-origin-concat","mush-data",0.5,1651
"./apriori/I8-bit-improve-apriori-one-ab-c-rm-dup-bit-num-filter-citem-origin-concat","mush-data",0.6,1022
"./apriori/I8-bit-improve-apriori-one-ab-c-rm-dup-bit-num-filter-citem-origin-concat","mush-data",0.7,623
