"itemSet","support"
600,291013
["?"],0.3052683407188577
["y"],0.5910881339241753
["p"],1
["f"],1
["c"],0.8552437223042836
["k"],0.6469719350073855
["e"],0.9645494830132939
["d"],0.38749384539635645
["o"],0.9217134416543574
["n"],0.8778926637124569
["b"],0.9470704086656819
["g"],0.5209256523879862
["l"],0.31117676021664203
["s"],0.8028064992614475
["t"],0.7602166420482521
["v"],0.49729197439684886
["w"],0.9763663220088626
["x"],0.4500246184145741
["?","p"],0.3052683407188577
["?","f"],0.3052683407188577
["?","e"],0.3052683407188577
["?","n"],0.3052683407188577
["p","y"],0.5910881339241753
["f","y"],0.5910881339241753
["c","y"],0.5837026095519449
["k","y"],0.40952732644017725
["e","y"],0.5910881339241753
["o","y"],0.5654849827671098
["n","y"],0.516248153618907
["b","y"],0.5598227474150664
["s","y"],0.42269817823732153
["t","y"],0.4155588380108321
["w","y"],0.5792712949286066
["f","p"],1
["c","p"],0.8552437223042836
["k","p"],0.6469719350073855
["e","p"],0.9645494830132939
["d","p"],0.38749384539635645
["o","p"],0.9217134416543574
["n","p"],0.8778926637124569
["b","p"],0.9470704086656819
["g","p"],0.5209256523879862
["l","p"],0.31117676021664203
["p","s"],0.8028064992614475
["p","t"],0.7602166420482521
["p","v"],0.49729197439684886
["p","w"],0.9763663220088626
["p","x"],0.4500246184145741
["c","f"],0.8552437223042836
["f","k"],0.6469719350073855
["e","f"],0.9645494830132939
["d","f"],0.38749384539635645
["f","o"],0.9217134416543574
["f","n"],0.8778926637124569
["b","f"],0.9470704086656819
["f","g"],0.5209256523879862
["f","l"],0.31117676021664203
["f","s"],0.8028064992614475
["f","t"],0.7602166420482521
["f","v"],0.49729197439684886
["f","w"],0.9763663220088626
["f","x"],0.4500246184145741
["c","k"],0.5573609059576563
["c","e"],0.8197932053175776
["c","d"],0.37567700640078777
["c","o"],0.8124076809453471
["c","n"],0.7331363860167405
["b","c"],0.8023141309699655
["c","g"],0.3909404234367307
["c","l"],0.3023141309699655
["c","s"],0.6669128508124077
["c","t"],0.6184145741014279
["c","v"],0.48252092565238797
["c","w"],0.8316100443131462
["c","x"],0.38404726735598227
["e","k"],0.6469719350073855
["k","o"],0.604628261939931
["k","n"],0.5603151157065485
["b","k"],0.6166912850812407
["g","k"],0.33739537173806006
["k","s"],0.4544559330379124
["k","t"],0.4517479074347612
["k","v"],0.33850320039389464
["k","w"],0.6410635155096012
["d","e"],0.38749384539635645
["e","o"],0.8862629246676514
["e","n"],0.8778926637124569
["b","e"],0.9116198916789758
["e","g"],0.49729197439684886
["e","l"],0.31117676021664203
["e","s"],0.7673559822747416
["e","t"],0.724766125061546
["e","v"],0.4795667159034958
["e","w"],0.9409158050221565
["e","x"],0.4322993599212211
["d","o"],0.38207779419005417
["d","n"],0.3638601674052191
["b","d"],0.37863121614968
["d","s"],0.31954702117183653
["d","w"],0.38749384539635645
["n","o"],0.7996061053668144
["b","o"],0.8687838503200394
["g","o"],0.47858197932053176
["l","o"],0.31117676021664203
["o","s"],0.7321516494337764
["o","t"],0.6863613983259478
["o","v"],0.48645987198424423
["o","w"],0.8980797636632201
["o","x"],0.4263909404234367
["b","n"],0.8249630723781388
["g","n"],0.4322993599212211
["n","s"],0.7516001969473166
["n","t"],0.7090103397341211
["n","v"],0.4441161989167898
["n","w"],0.8542589857213195
["n","x"],0.3889709502708026
["b","g"],0.4977843426883309
["b","l"],0.310438207779419
["b","s"],0.7535696701132447
["b","t"],0.7287050713934022
["b","v"],0.46971935007385524
["b","w"],0.9234367306745446
["b","x"],0.4263909404234367
["g","s"],0.38872476612506157
["g","t"],0.3776464795667159
["g","w"],0.5209256523879862
["s","t"],0.7333825701624815
["s","v"],0.39438700147710487
["s","w"],0.7791728212703102
["s","x"],0.35745937961595275
["t","v"],0.37518463810930575
["t","w"],0.7602166420482521
["t","x"],0.3293943870014771
["v","w"],0.4854751354012802
["w","x"],0.4441161989167898
["?","f","p"],0.3052683407188577
["?","e","p"],0.3052683407188577
["?","n","p"],0.3052683407188577
["?","e","f"],0.3052683407188577
["?","f","n"],0.3052683407188577
["?","e","n"],0.3052683407188577
["f","p","y"],0.5910881339241753
["c","p","y"],0.5837026095519449
["k","p","y"],0.40952732644017725
["e","p","y"],0.5910881339241753
["o","p","y"],0.5654849827671098
["n","p","y"],0.516248153618907
["b","p","y"],0.5598227474150664
["p","s","y"],0.42269817823732153
["p","t","y"],0.4155588380108321
["p","w","y"],0.5792712949286066
["c","f","y"],0.5837026095519449
["f","k","y"],0.40952732644017725
["e","f","y"],0.5910881339241753
["f","o","y"],0.5654849827671098
["f","n","y"],0.516248153618907
["b","f","y"],0.5598227474150664
["f","s","y"],0.42269817823732153
["f","t","y"],0.4155588380108321
["f","w","y"],0.5792712949286066
["c","k","y"],0.4090349581486952
["c","e","y"],0.5837026095519449
["c","o","y"],0.5580994583948794
["c","n","y"],0.5088626292466765
["b","c","y"],0.552437223042836
["c","s","y"],0.41568193008370263
["c","t","y"],0.4096504185130478
["c","w","y"],0.5718857705563761
["e","k","y"],0.40952732644017725
["k","o","y"],0.40066469719350073
["k","n","y"],0.3346873461349089
["b","k","y"],0.39278680452978826
["k","w","y"],0.4065731166912851
["e","o","y"],0.5654849827671098
["e","n","y"],0.516248153618907
["b","e","y"],0.5598227474150664
["e","s","y"],0.42269817823732153
["e","t","y"],0.4155588380108321
["e","w","y"],0.5792712949286066
["n","o","y"],0.49064500246184145
["b","o","y"],0.534219596258001
["o","s","y"],0.40251107828655835
["o","t","y"],0.39438700147710487
["o","w","y"],0.5536681437715412
["b","n","y"],0.48498276710979815
["n","s","y"],0.4098966026587888
["n","t","y"],0.40275726243229937
["n","w","y"],0.5044313146233382
["b","s","y"],0.3951255539143279
["b","t","y"],0.3998030526834072
["b","w","y"],0.5480059084194978
["s","t","y"],0.396848842934515
["s","w","y"],0.41088133924175285
["t","w","y"],0.4155588380108321
["c","f","p"],0.8552437223042836
["f","k","p"],0.6469719350073855
["e","f","p"],0.9645494830132939
["d","f","p"],0.38749384539635645
["f","o","p"],0.9217134416543574
["f","n","p"],0.8778926637124569
["b","f","p"],0.9470704086656819
["f","g","p"],0.5209256523879862
["f","l","p"],0.31117676021664203
["f","p","s"],0.8028064992614475
["f","p","t"],0.7602166420482521
["f","p","v"],0.49729197439684886
["f","p","w"],0.9763663220088626
["f","p","x"],0.4500246184145741
["c","k","p"],0.5573609059576563
["c","e","p"],0.8197932053175776
["c","d","p"],0.37567700640078777
["c","o","p"],0.8124076809453471
["c","n","p"],0.7331363860167405
["b","c","p"],0.8023141309699655
["c","g","p"],0.3909404234367307
["c","l","p"],0.3023141309699655
["c","p","s"],0.6669128508124077
["c","p","t"],0.6184145741014279
["c","p","v"],0.48252092565238797
["c","p","w"],0.8316100443131462
["c","p","x"],0.38404726735598227
["e","k","p"],0.6469719350073855
["k","o","p"],0.604628261939931
["k","n","p"],0.5603151157065485
["b","k","p"],0.6166912850812407
["g","k","p"],0.33739537173806006
["k","p","s"],0.4544559330379124
["k","p","t"],0.4517479074347612
["k","p","v"],0.33850320039389464
["k","p","w"],0.6410635155096012
["d","e","p"],0.38749384539635645
["e","o","p"],0.8862629246676514
["e","n","p"],0.8778926637124569
["b","e","p"],0.9116198916789758
["e","g","p"],0.49729197439684886
["e","l","p"],0.31117676021664203
["e","p","s"],0.7673559822747416
["e","p","t"],0.724766125061546
["e","p","v"],0.4795667159034958
["e","p","w"],0.9409158050221565
["e","p","x"],0.4322993599212211
["d","o","p"],0.38207779419005417
["d","n","p"],0.3638601674052191
["b","d","p"],0.37863121614968
["d","p","s"],0.31954702117183653
["d","p","w"],0.38749384539635645
["n","o","p"],0.7996061053668144
["b","o","p"],0.8687838503200394
["g","o","p"],0.47858197932053176
["l","o","p"],0.31117676021664203
["o","p","s"],0.7321516494337764
["o","p","t"],0.6863613983259478
["o","p","v"],0.48645987198424423
["o","p","w"],0.8980797636632201
["o","p","x"],0.4263909404234367
["b","n","p"],0.8249630723781388
["g","n","p"],0.4322993599212211
["n","p","s"],0.7516001969473166
["n","p","t"],0.7090103397341211
["n","p","v"],0.4441161989167898
["n","p","w"],0.8542589857213195
["n","p","x"],0.3889709502708026
["b","g","p"],0.4977843426883309
["b","l","p"],0.310438207779419
["b","p","s"],0.7535696701132447
["b","p","t"],0.7287050713934022
["b","p","v"],0.46971935007385524
["b","p","w"],0.9234367306745446
["b","p","x"],0.4263909404234367
["g","p","s"],0.38872476612506157
["g","p","t"],0.3776464795667159
["g","p","w"],0.5209256523879862
["p","s","t"],0.7333825701624815
["p","s","v"],0.39438700147710487
["p","s","w"],0.7791728212703102
["p","s","x"],0.35745937961595275
["p","t","v"],0.37518463810930575
["p","t","w"],0.7602166420482521
["p","t","x"],0.3293943870014771
["p","v","w"],0.4854751354012802
["p","w","x"],0.4441161989167898
["c","f","k"],0.5573609059576563
["c","e","f"],0.8197932053175776
["c","d","f"],0.37567700640078777
["c","f","o"],0.8124076809453471
["c","f","n"],0.7331363860167405
["b","c","f"],0.8023141309699655
["c","f","g"],0.3909404234367307
["c","f","l"],0.3023141309699655
["c","f","s"],0.6669128508124077
["c","f","t"],0.6184145741014279
["c","f","v"],0.48252092565238797
["c","f","w"],0.8316100443131462
["c","f","x"],0.38404726735598227
["e","f","k"],0.6469719350073855
