"itemSet","support"
604,16059
["p"],1
["f"],1
["c"],0.8552437223042836
["e"],0.9645494830132939
["o"],0.9217134416543574
["n"],0.8778926637124569
["b"],0.9470704086656819
["s"],0.8028064992614475
["t"],0.7602166420482521
["w"],0.9763663220088626
["f","p"],1
["c","p"],0.8552437223042836
["e","p"],0.9645494830132939
["o","p"],0.9217134416543574
["n","p"],0.8778926637124569
["b","p"],0.9470704086656819
["p","s"],0.8028064992614475
["p","t"],0.7602166420482521
["p","w"],0.9763663220088626
["c","f"],0.8552437223042836
["e","f"],0.9645494830132939
["f","o"],0.9217134416543574
["f","n"],0.8778926637124569
["b","f"],0.9470704086656819
["f","s"],0.8028064992614475
["f","t"],0.7602166420482521
["f","w"],0.9763663220088626
["c","e"],0.8197932053175776
["c","o"],0.8124076809453471
["c","n"],0.7331363860167405
["b","c"],0.8023141309699655
["c","w"],0.8316100443131462
["e","o"],0.8862629246676514
["e","n"],0.8778926637124569
["b","e"],0.9116198916789758
["e","s"],0.7673559822747416
["e","t"],0.724766125061546
["e","w"],0.9409158050221565
["n","o"],0.7996061053668144
["b","o"],0.8687838503200394
["o","s"],0.7321516494337764
["o","w"],0.8980797636632201
["b","n"],0.8249630723781388
["n","s"],0.7516001969473166
["n","t"],0.7090103397341211
["n","w"],0.8542589857213195
["b","s"],0.7535696701132447
["b","t"],0.7287050713934022
["b","w"],0.9234367306745446
["s","t"],0.7333825701624815
["s","w"],0.7791728212703102
["t","w"],0.7602166420482521
["c","f","p"],0.8552437223042836
["e","f","p"],0.9645494830132939
["f","o","p"],0.9217134416543574
["f","n","p"],0.8778926637124569
["b","f","p"],0.9470704086656819
["f","p","s"],0.8028064992614475
["f","p","t"],0.7602166420482521
["f","p","w"],0.9763663220088626
["c","e","p"],0.8197932053175776
["c","o","p"],0.8124076809453471
["c","n","p"],0.7331363860167405
["b","c","p"],0.8023141309699655
["c","p","w"],0.8316100443131462
["e","o","p"],0.8862629246676514
["e","n","p"],0.8778926637124569
["b","e","p"],0.9116198916789758
["e","p","s"],0.7673559822747416
["e","p","t"],0.724766125061546
["e","p","w"],0.9409158050221565
["n","o","p"],0.7996061053668144
["b","o","p"],0.8687838503200394
["o","p","s"],0.7321516494337764
["o","p","w"],0.8980797636632201
["b","n","p"],0.8249630723781388
["n","p","s"],0.7516001969473166
["n","p","t"],0.7090103397341211
["n","p","w"],0.8542589857213195
["b","p","s"],0.7535696701132447
["b","p","t"],0.7287050713934022
["b","p","w"],0.9234367306745446
["p","s","t"],0.7333825701624815
["p","s","w"],0.7791728212703102
["p","t","w"],0.7602166420482521
["c","e","f"],0.8197932053175776
["c","f","o"],0.8124076809453471
["c","f","n"],0.7331363860167405
["b","c","f"],0.8023141309699655
["c","f","w"],0.8316100443131462
["e","f","o"],0.8862629246676514
["e","f","n"],0.8778926637124569
["b","e","f"],0.9116198916789758
["e","f","s"],0.7673559822747416
["e","f","t"],0.724766125061546
["e","f","w"],0.9409158050221565
["f","n","o"],0.7996061053668144
["b","f","o"],0.8687838503200394
["f","o","s"],0.7321516494337764
["f","o","w"],0.8980797636632201
["b","f","n"],0.8249630723781388
["f","n","s"],0.7516001969473166
["f","n","t"],0.7090103397341211
["f","n","w"],0.8542589857213195
["b","f","s"],0.7535696701132447
["b","f","t"],0.7287050713934022
["b","f","w"],0.9234367306745446
["f","s","t"],0.7333825701624815
["f","s","w"],0.7791728212703102
["f","t","w"],0.7602166420482521
["c","e","o"],0.7769571639586411
["c","e","n"],0.7331363860167405
["b","c","e"],0.7668636139832595
["c","e","w"],0.7961595273264401
["b","c","o"],0.759478089611029
["c","o","w"],0.7887740029542097
["c","n","w"],0.7095027080256031
["b","c","w"],0.7786804529788282
["e","n","o"],0.7996061053668144
["b","e","o"],0.8333333333333334
["e","o","w"],0.8626292466765141
["b","e","n"],0.8249630723781388
["e","n","s"],0.7516001969473166
["e","n","t"],0.7090103397341211
["e","n","w"],0.8542589857213195
["b","e","s"],0.7181191531265386
["b","e","w"],0.8879862136878385
["e","s","w"],0.7437223042836041
["e","t","w"],0.724766125061546
["b","n","o"],0.7466765140324964
["n","o","w"],0.775972427375677
["b","o","w"],0.845150172328902
["o","s","w"],0.7085179714426391
["b","n","s"],0.7023633677991138
["b","n","w"],0.8013293943870015
["n","s","w"],0.7279665189561793
["n","t","w"],0.7090103397341211
["b","s","t"],0.7018709995076317
["b","s","w"],0.7299359921221074
["b","t","w"],0.7287050713934022
["s","t","w"],0.7333825701624815
["c","e","f","p"],0.8197932053175776
["c","f","o","p"],0.8124076809453471
["c","f","n","p"],0.7331363860167405
["b","c","f","p"],0.8023141309699655
["c","f","p","w"],0.8316100443131462
["e","f","o","p"],0.8862629246676514
["e","f","n","p"],0.8778926637124569
["b","e","f","p"],0.9116198916789758
["e","f","p","s"],0.7673559822747416
["e","f","p","t"],0.724766125061546
["e","f","p","w"],0.9409158050221565
["f","n","o","p"],0.7996061053668144
["b","f","o","p"],0.8687838503200394
["f","o","p","s"],0.7321516494337764
["f","o","p","w"],0.8980797636632201
