"itemSet","support"
547,49289
["s"],0.5204
["y"],0.5215
["e"],0.5268
["u"],0.5199
["o"],0.5279
["b"],0.5291
["x"],0.5263
["i"],0.5252
["d"],0.527
["p"],0.5322
["t"],0.532
["n"],0.521
["m"],0.5212
["f"],0.5269
["w"],0.5365
["k"],0.5214
["z"],0.5271
["h"],0.5244
["j"],0.5299
["c"],0.5261
["l"],0.5314
["r"],0.5327
["g"],0.5176
["q"],0.5233
["v"],0.5255
["s","y"],0.3366
["e","s"],0.3416
["s","u"],0.3342
["o","s"],0.3424
["b","s"],0.3363
["s","x"],0.3394
["i","s"],0.3383
["d","s"],0.3379
["p","s"],0.3378
["s","t"],0.3359
["n","s"],0.3348
["m","s"],0.3335
["f","s"],0.3349
["s","w"],0.3437
["k","s"],0.3353
["s","z"],0.3402
["h","s"],0.3367
["j","s"],0.3361
["c","s"],0.3369
["l","s"],0.3407
["r","s"],0.3407
["g","s"],0.3366
["q","s"],0.3379
["s","v"],0.3377
["e","y"],0.3417
["u","y"],0.3353
["o","y"],0.3426
["b","y"],0.3404
["x","y"],0.3373
["i","y"],0.3403
["d","y"],0.3378
["p","y"],0.3394
["t","y"],0.3384
["n","y"],0.3371
["m","y"],0.3363
["f","y"],0.3384
["w","y"],0.3458
["k","y"],0.3339
["y","z"],0.3411
["h","y"],0.3338
["j","y"],0.3411
["c","y"],0.3386
["l","y"],0.3413
["r","y"],0.338
["g","y"],0.3335
["q","y"],0.334
["v","y"],0.3375
["e","u"],0.3406
["e","o"],0.3417
["b","e"],0.3414
["e","x"],0.3384
["e","i"],0.3401
["d","e"],0.3408
["e","p"],0.34
["e","t"],0.3442
["e","n"],0.3359
["e","m"],0.333
["e","f"],0.3388
["e","w"],0.3484
["e","k"],0.3393
["e","z"],0.3424
["e","h"],0.3429
["e","j"],0.3444
["c","e"],0.339
["e","l"],0.3414
["e","r"],0.3437
["e","g"],0.3373
["e","q"],0.3405
["e","v"],0.3424
["o","u"],0.3404
["b","u"],0.3369
["u","x"],0.3304
["i","u"],0.3411
["d","u"],0.3376
["p","u"],0.3405
["t","u"],0.3396
["n","u"],0.3357
["m","u"],0.3328
["f","u"],0.3357
["u","w"],0.3448
["k","u"],0.3311
["u","z"],0.3372
["h","u"],0.338
["j","u"],0.3355
["c","u"],0.3421
["l","u"],0.3388
["r","u"],0.3398
["g","u"],0.3327
["q","u"],0.3358
["u","v"],0.3389
["b","o"],0.3425
["o","x"],0.3408
["i","o"],0.3418
["d","o"],0.3445
["o","p"],0.3477
["o","t"],0.3459
["n","o"],0.3392
["m","o"],0.3389
["f","o"],0.3436
["o","w"],0.3494
["k","o"],0.3416
["o","z"],0.3489
["h","o"],0.344
["j","o"],0.3455
["c","o"],0.3424
["l","o"],0.3436
["o","r"],0.3433
["g","o"],0.3366
["o","q"],0.3428
["o","v"],0.3434
["b","x"],0.3419
["b","i"],0.3438
["b","d"],0.3374
["b","p"],0.3437
["b","t"],0.3448
["b","n"],0.3411
["b","m"],0.3357
["b","f"],0.3412
["b","w"],0.3491
["b","k"],0.3377
["b","z"],0.3398
["b","h"],0.3386
["b","j"],0.3436
["b","c"],0.3385
["b","l"],0.3409
["b","r"],0.3413
["b","g"],0.3364
["b","q"],0.3383
["b","v"],0.3396
