"itemSet","support"
875,74036
["n"],0.5221333333333333
["d"],0.5216
["q"],0.5258666666666667
["o"],0.5246666666666666
["g"],0.5158666666666667
["s"],0.5198
["b"],0.5190666666666667
["y"],0.5212666666666667
["u"],0.5212666666666667
["e"],0.5170666666666667
["w"],0.5250666666666667
["x"],0.5263333333333333
["j"],0.5232666666666667
["v"],0.5211333333333333
["k"],0.5176666666666667
["i"],0.5239333333333334
["l"],0.5258666666666667
["r"],0.5200666666666667
["m"],0.5143333333333333
["z"],0.5241333333333333
["p"],0.5232666666666667
["c"],0.5227333333333334
["h"],0.5238666666666667
["f"],0.5196666666666667
["t"],0.5195333333333333
["d","n"],0.33326666666666666
["n","q"],0.33626666666666666
["n","o"],0.33193333333333336
["g","n"],0.33193333333333336
["n","s"],0.3303333333333333
["b","n"],0.33213333333333334
["n","y"],0.33213333333333334
["n","u"],0.333
["e","n"],0.3300666666666667
["n","w"],0.3340666666666667
["n","x"],0.33366666666666667
["j","n"],0.3352
["n","v"],0.33393333333333336
["k","n"],0.32913333333333333
["i","n"],0.3334
["l","n"],0.3350666666666667
["n","r"],0.3338
["m","n"],0.3274666666666667
["n","z"],0.3323333333333333
["n","p"],0.33353333333333335
["c","n"],0.33413333333333334
["h","n"],0.33153333333333335
["f","n"],0.3317333333333333
["n","t"],0.32886666666666664
["d","q"],0.33673333333333333
["d","o"],0.33453333333333335
["d","g"],0.3278
["d","s"],0.3352
["b","d"],0.33293333333333336
["d","y"],0.3324666666666667
["d","u"],0.3338
["d","e"],0.32986666666666664
["d","w"],0.33386666666666664
["d","x"],0.3344666666666667
["d","j"],0.3364666666666667
["d","v"],0.3304
["d","k"],0.33126666666666665
["d","i"],0.3333333333333333
["d","l"],0.33513333333333334
["d","r"],0.32893333333333336
["d","m"],0.3280666666666667
["d","z"],0.33653333333333335
["d","p"],0.33366666666666667
["c","d"],0.33093333333333336
["d","h"],0.33226666666666665
["d","f"],0.32986666666666664
["d","t"],0.33326666666666666
["o","q"],0.3382
["g","q"],0.33153333333333335
["q","s"],0.3344
["b","q"],0.33526666666666666
["q","y"],0.3374666666666667
["q","u"],0.3370666666666667
["e","q"],0.33613333333333334
["q","w"],0.3392
["q","x"],0.3383333333333333
["j","q"],0.33786666666666665
["q","v"],0.3344666666666667
["k","q"],0.33293333333333336
["i","q"],0.338
["l","q"],0.34086666666666665
["q","r"],0.3366
["m","q"],0.33186666666666664
["q","z"],0.3416
["p","q"],0.3373333333333333
["c","q"],0.33526666666666666
["h","q"],0.33853333333333335
["f","q"],0.3330666666666667
["q","t"],0.3356
["g","o"],0.3308
["o","s"],0.3344
["b","o"],0.3358
["o","y"],0.3330666666666667
["o","u"],0.3332
["e","o"],0.3340666666666667
["o","w"],0.33973333333333333
["o","x"],0.33553333333333335
["j","o"],0.3400666666666667
["o","v"],0.33253333333333335
["k","o"],0.3344
["i","o"],0.3369333333333333
["l","o"],0.3378
["o","r"],0.33453333333333335
["m","o"],0.3308
["o","z"],0.3372
["o","p"],0.3346
["c","o"],0.336
["h","o"],0.3376
["f","o"],0.3318
["o","t"],0.3344
["g","s"],0.3282
["b","g"],0.3293333333333333
["g","y"],0.3294666666666667
["g","u"],0.3344
["e","g"],0.32826666666666665
["g","w"],0.3337333333333333
["g","x"],0.3308
["g","j"],0.3326
["g","v"],0.33326666666666666
["g","k"],0.3280666666666667
["g","i"],0.33186666666666664
["g","l"],0.3343333333333333
["g","r"],0.3294
["g","m"],0.3234666666666667
["g","z"],0.3268
["g","p"],0.33286666666666664
["c","g"],0.3306
["g","h"],0.3304666666666667
["f","g"],0.3304666666666667
["g","t"],0.329
["b","s"],0.3312
["s","y"],0.3337333333333333
["s","u"],0.3333333333333333
["e","s"],0.3287333333333333
["s","w"],0.3348
["s","x"],0.3344666666666667
["j","s"],0.33266666666666667
["s","v"],0.3333333333333333
["k","s"],0.3324
["i","s"],0.3318
["l","s"],0.3352
["r","s"],0.3293333333333333
["m","s"],0.3268666666666667
["s","z"],0.33293333333333336
["p","s"],0.3317333333333333
["c","s"],0.3323333333333333
["h","s"],0.3336
["f","s"],0.3324666666666667
["s","t"],0.33226666666666665
["b","y"],0.3337333333333333
["b","u"],0.3332
["b","e"],0.3292
["b","w"],0.33526666666666666
["b","x"],0.3304666666666667
["b","j"],0.33193333333333336
["b","v"],0.3316
["b","k"],0.3308
["b","i"],0.3373333333333333
["b","l"],0.3332
["b","r"],0.3316
["b","m"],0.32653333333333334
["b","z"],0.33486666666666665
["b","p"],0.3322
["b","c"],0.33286666666666664
["b","h"],0.3334666666666667
["b","f"],0.3316
["b","t"],0.3268666666666667
["u","y"],0.3320666666666667
["e","y"],0.3314
["w","y"],0.3353333333333333
["x","y"],0.3347333333333333
["j","y"],0.33726666666666666
["v","y"],0.33453333333333335
["k","y"],0.3322
["i","y"],0.336
["l","y"],0.3344666666666667
["r","y"],0.3346
["m","y"],0.3296
["y","z"],0.334
["p","y"],0.33466666666666667
["c","y"],0.3318
["h","y"],0.3337333333333333
["f","y"],0.333
["t","y"],0.33466666666666667
["e","u"],0.33026666666666665
["u","w"],0.3348
["u","x"],0.3366
["j","u"],0.3378
["u","v"],0.33326666666666666
["k","u"],0.3346
["i","u"],0.33486666666666665
["l","u"],0.3356
["r","u"],0.33293333333333336
["m","u"],0.3307333333333333
["u","z"],0.3354
["p","u"],0.3364666666666667
["c","u"],0.334
["h","u"],0.3360666666666667
["f","u"],0.3334
["t","u"],0.3306
["e","w"],0.3324
["e","x"],0.33113333333333334
["e","j"],0.3324666666666667
["e","v"],0.3302
["e","k"],0.3287333333333333
["e","i"],0.3317333333333333
["e","l"],0.33153333333333335
["e","r"],0.33093333333333336
["e","m"],0.3238666666666667
["e","z"],0.32913333333333333
["e","p"],0.33093333333333336
["c","e"],0.33
["e","h"],0.33253333333333335
["e","f"],0.3297333333333333
["e","t"],0.32793333333333335
["w","x"],0.33453333333333335
["j","w"],0.3342
["v","w"],0.33673333333333333
["k","w"],0.33113333333333334
["i","w"],0.3374666666666667
["l","w"],0.3379333333333333
["r","w"],0.3340666666666667
["m","w"],0.3303333333333333
["w","z"],0.33766666666666667
["p","w"],0.3338
["c","w"],0.33586666666666665
["h","w"],0.33566666666666667
["f","w"],0.3330666666666667
["t","w"],0.33313333333333334
