"itemSet","support"
1325,121812
["h"],0.51932
["c"],0.52348
["s"],0.52624
["j"],0.52344
["w"],0.52124
["p"],0.51876
["v"],0.51916
["y"],0.52368
["d"],0.51772
["b"],0.525
["z"],0.5244
["m"],0.5248
["u"],0.52812
["q"],0.52388
["e"],0.52284
["n"],0.52016
["k"],0.52536
["g"],0.52788
["i"],0.52484
["f"],0.52456
["o"],0.5258
["x"],0.52704
["t"],0.52728
["r"],0.5238
["l"],0.522
["c","h"],0.3332
["h","s"],0.3354
["h","j"],0.33368
["h","w"],0.3316
["h","p"],0.33224
["h","v"],0.33184
["h","y"],0.33356
["d","h"],0.33176
["b","h"],0.33724
["h","z"],0.33464
["h","m"],0.33264
["h","u"],0.33732
["h","q"],0.33392
["e","h"],0.33432
["h","n"],0.33388
["h","k"],0.3348
["g","h"],0.33948
["h","i"],0.33696
["f","h"],0.33484
["h","o"],0.33572
["h","x"],0.33604
["h","t"],0.33656
["h","r"],0.33528
["h","l"],0.33504
["c","s"],0.338
["c","j"],0.3382
["c","w"],0.33508
["c","p"],0.335
["c","v"],0.33448
["c","y"],0.33636
["c","d"],0.33236
["b","c"],0.33516
["c","z"],0.3354
["c","m"],0.33724
["c","u"],0.3382
["c","q"],0.33572
["c","e"],0.3358
["c","n"],0.33464
["c","k"],0.3352
["c","g"],0.3394
["c","i"],0.3356
["c","f"],0.3366
["c","o"],0.33876
["c","x"],0.33856
["c","t"],0.33784
["c","r"],0.33824
["c","l"],0.33436
["j","s"],0.33844
["s","w"],0.33868
["p","s"],0.33608
["s","v"],0.33512
["s","y"],0.33812
["d","s"],0.3326
["b","s"],0.33964
["s","z"],0.3374
["m","s"],0.3406
["s","u"],0.33884
["q","s"],0.33776
["e","s"],0.33624
["n","s"],0.33728
["k","s"],0.33584
["g","s"],0.33952
["i","s"],0.3408
["f","s"],0.33544
["o","s"],0.33944
["s","x"],0.33792
["s","t"],0.33796
["r","s"],0.33664
["l","s"],0.3382
["j","w"],0.33412
["j","p"],0.3342
["j","v"],0.33384
["j","y"],0.33932
["d","j"],0.3348
["b","j"],0.33564
["j","z"],0.3352
["j","m"],0.33452
["j","u"],0.33828
["j","q"],0.3372
["e","j"],0.33768
["j","n"],0.33404
["j","k"],0.33648
["g","j"],0.34076
["i","j"],0.33636
["f","j"],0.33548
["j","o"],0.33856
["j","x"],0.33888
["j","t"],0.33904
["j","r"],0.33612
["j","l"],0.33744
["p","w"],0.33368
["v","w"],0.33292
["w","y"],0.33448
["d","w"],0.33176
["b","w"],0.337
["w","z"],0.3358
["m","w"],0.33632
["u","w"],0.34032
["q","w"],0.33556
["e","w"],0.33448
