"itemSet","support"
662,19184
["j"],0.5232666666666667
["n"],0.5221333333333333
["f"],0.5196666666666667
["h"],0.5238666666666667
["g"],0.5158666666666667
["c"],0.5227333333333334
["b"],0.5190666666666667
["m"],0.5143333333333333
["l"],0.5258666666666667
["e"],0.5170666666666667
["i"],0.5239333333333334
["k"],0.5176666666666667
["d"],0.5216
["z"],0.5241333333333333
["t"],0.5195333333333333
["q"],0.5258666666666667
["o"],0.5246666666666666
["r"],0.5200666666666667
["s"],0.5198
["p"],0.5232666666666667
["u"],0.5212666666666667
["v"],0.5211333333333333
["w"],0.5250666666666667
["x"],0.5263333333333333
["y"],0.5212666666666667
["j","n"],0.3352
["j","m"],0.324
["j","l"],0.33666666666666667
["j","k"],0.33286666666666664
["j","z"],0.33466666666666667
["j","t"],0.33426666666666666
["j","q"],0.33786666666666665
["j","o"],0.3400666666666667
["j","r"],0.3332
["j","s"],0.33266666666666667
["j","p"],0.335
["j","u"],0.3378
["j","v"],0.3338
["j","w"],0.3342
["j","x"],0.3352
["j","y"],0.33726666666666666
["n","z"],0.3323333333333333
["n","t"],0.32886666666666664
["n","q"],0.33626666666666666
["n","o"],0.33193333333333336
["n","r"],0.3338
["n","s"],0.3303333333333333
["n","p"],0.33353333333333335
["n","u"],0.333
["n","v"],0.33393333333333336
["n","w"],0.3340666666666667
["n","x"],0.33366666666666667
["n","y"],0.33213333333333334
["f","j"],0.3316
["f","n"],0.3317333333333333
["f","h"],0.33353333333333335
["f","g"],0.3304666666666667
["f","m"],0.33126666666666665
["f","l"],0.33266666666666667
["f","i"],0.3362
["f","k"],0.3313333333333333
["f","z"],0.3340666666666667
["f","t"],0.3328
["f","q"],0.3330666666666667
["f","o"],0.3318
["f","r"],0.33313333333333334
["f","s"],0.3324666666666667
["f","p"],0.33113333333333334
["f","u"],0.3334
["f","v"],0.33453333333333335
["f","w"],0.3330666666666667
["f","x"],0.3314
["f","y"],0.333
["h","j"],0.33566666666666667
["h","n"],0.33153333333333335
["h","m"],0.3290666666666667
["h","l"],0.3364
["h","i"],0.3337333333333333
["h","k"],0.3350666666666667
["h","z"],0.3368
["h","t"],0.33493333333333336
