"itemSet","support"
823,25012
["v"],0.5236
["f"],0.5216
["c"],0.52515
["d"],0.52825
["b"],0.5225
["e"],0.52515
["m"],0.51565
["h"],0.5213
["g"],0.51855
["p"],0.52125
["k"],0.51885
["j"],0.5241
["i"],0.52575
["u"],0.52485
["t"],0.51865
["l"],0.5198
["s"],0.5231
["o"],0.51835
["r"],0.52135
["n"],0.52155
["q"],0.52205
["w"],0.5216
["x"],0.5219
["y"],0.5268
["z"],0.5193
["v","w"],0.33545
["v","x"],0.33615
["v","y"],0.3379
["v","z"],0.3325
["f","v"],0.3366
["f","m"],0.33075
["f","h"],0.3337
["f","g"],0.33535
["f","p"],0.33405
["f","k"],0.3322
["f","j"],0.33705
["f","i"],0.3353
["f","u"],0.3357
["f","t"],0.33475
["f","l"],0.3341
["f","s"],0.3353
["f","o"],0.33645
["f","r"],0.33505
["f","n"],0.3352
["f","q"],0.3376
["f","w"],0.33435
["f","x"],0.33485
["f","y"],0.3371
["f","z"],0.3338
["c","v"],0.33845
["c","f"],0.33715
["c","d"],0.33735
["c","e"],0.33885
["c","m"],0.33305
["c","h"],0.33505
["c","g"],0.3337
["c","p"],0.33645
["c","k"],0.33415
["c","j"],0.3366
["c","i"],0.33965
["c","u"],0.33785
["c","t"],0.33655
["c","l"],0.3338
["c","s"],0.33865
["c","o"],0.33455
["c","r"],0.3354
["c","n"],0.3363
["c","q"],0.33525
["c","w"],0.3367
["c","x"],0.33755
["c","y"],0.3409
["c","z"],0.3355
["d","v"],0.337
["d","f"],0.3375
["d","e"],0.34025
["d","m"],0.33615
["d","h"],0.3378
["d","g"],0.3359
["d","p"],0.3371
["d","k"],0.3354
["d","j"],0.3389
["d","i"],0.34095
["d","u"],0.33895
["d","t"],0.3376
["d","l"],0.33595
["d","s"],0.3413
["d","o"],0.3381
["d","r"],0.33815
["d","n"],0.33955
["d","q"],0.3412
["d","w"],0.3378
["d","x"],0.3401
["d","y"],0.33845
["d","z"],0.3361
["b","v"],0.33465
["b","f"],0.3339
["b","c"],0.33675
["b","d"],0.3406
["b","e"],0.3339
["b","m"],0.33285
["b","h"],0.33245
["b","g"],0.33335
["b","p"],0.3364
["b","k"],0.33195
["b","j"],0.3343
["b","i"],0.3382
["b","u"],0.33485
["b","t"],0.3335
["b","l"],0.3313
["b","s"],0.3363
["b","o"],0.33485
["b","r"],0.3337
["b","n"],0.3353
["b","q"],0.33695
["b","w"],0.3341
["b","x"],0.33395
["b","y"],0.33615
["b","z"],0.3315
["e","v"],0.3372
["e","f"],0.3357
["e","m"],0.3327
["e","h"],0.33805
["e","g"],0.33515
["e","p"],0.33665
["e","k"],0.33585
["e","j"],0.33525
["e","i"],0.3386
["e","u"],0.3369
["e","t"],0.3363
["e","l"],0.3347
["e","s"],0.3383
["e","o"],0.33765
