"itemSet","support"
25160,46631
["120"],0.04973
["205"],0.03605
["229"],0.02281
["192"],0.02004
["183"],0.03883
["217"],0.05375
["236"],0.02618
["140"],0.02687
["161"],0.0232
["175"],0.02791
["177"],0.04629
["112"],0.0268
["239"],0.02742
["21"],0.02666
["132"],0.02641
["196"],0.02096
["210"],0.02009
["12"],0.03415
["145"],0.04559
["242"],0.02325
["116"],0.02193
["151"],0.02611
["204"],0.02174
["274"],0.02628
["614"],0.03134
["523"],0.02244
["334"],0.02146
["480"],0.02309
["368"],0.07828
["419"],0.05057
["526"],0.02793
["541"],0.03735
["471"],0.02894
["487"],0.03135
["538"],0.03982
["561"],0.02783
["579"],0.02164
["522"],0.02725
["411"],0.02047
["296"],0.0221
["354"],0.05835
["548"],0.02843
["39"],0.04258
["346"],0.0347
["477"],0.02462
["401"],0.03667
["581"],0.02943
["460"],0.04438
["489"],0.0342
["494"],0.05102
["362"],0.04388
["27"],0.02165
["472"],0.02125
["392"],0.0242
["283"],0.04082
["381"],0.02959
["32"],0.04248
["54"],0.02595
["571"],0.02902
["48"],0.02472
["285"],0.026
["387"],0.02089
["606"],0.02668
["593"],0.02601
["6"],0.02149
["450"],0.02082
["509"],0.03044
["569"],0.02835
["598"],0.03219
["470"],0.04137
["276"],0.02479
["350"],0.03069
["529"],0.07057
["373"],0.02007
["349"],0.02041
["413"],0.02637
["510"],0.03281
["57"],0.02743
["597"],0.02883
["390"],0.02685
["38"],0.02402
["438"],0.04511
["279"],0.03014
["280"],0.02108
["888"],0.03686
["70"],0.02411
["75"],0.03151
["71"],0.03507
["874"],0.02237
["663"],0.02354
["752"],0.02578
["886"],0.03053
["73"],0.02179
["722"],0.05845
["694"],0.02847
["692"],0.04993
["844"],0.02814
["774"],0.02046
["675"],0.02976
["809"],0.02163
["8"],0.0309
["826"],0.02022
["788"],0.02386
["789"],0.04309
["782"],0.02767
["720"],0.03864
["661"],0.02693
["634"],0.02492
["682"],0.04132
["803"],0.02237
["631"],0.02793
["798"],0.03103
["638"],0.02288
["780"],0.02306
["620"],0.021
["778"],0.02514
["793"],0.03063
["758"],0.0286
["676"],0.02717
["797"],0.02684
["69"],0.0237
["653"],0.02634
["883"],0.04902
["885"],0.03043
["766"],0.06265
["878"],0.02047
["617"],0.02614
["738"],0.02129
["775"],0.03771
["795"],0.03361
["825"],0.03085
["72"],0.02852
["871"],0.0281
["684"],0.05408
["832"],0.02062
["862"],0.03649
["829"],0.0681
["854"],0.02847
["78"],0.02471
["744"],0.02177
["674"],0.02527
["919"],0.0371
["921"],0.02425
["895"],0.03385
["918"],0.03012
["914"],0.04037
["966"],0.03921
["944"],0.02794
["93"],0.02777
["960"],0.02732
["956"],0.03626
["937"],0.04681
["947"],0.0369
["970"],0.02086
["998"],0.02713
