"itemSet","support"
579,22531
["y"],0.5910881339241753
["p"],1
["f"],1
["c"],0.8552437223042836
["k"],0.6469719350073855
["e"],0.9645494830132939
["o"],0.9217134416543574
["n"],0.8778926637124569
["b"],0.9470704086656819
["g"],0.5209256523879862
["s"],0.8028064992614475
["t"],0.7602166420482521
["w"],0.9763663220088626
["p","y"],0.5910881339241753
["p","s"],0.8028064992614475
["p","t"],0.7602166420482521
["p","w"],0.9763663220088626
["f","y"],0.5910881339241753
["f","p"],1
["f","k"],0.6469719350073855
["f","o"],0.9217134416543574
["f","n"],0.8778926637124569
["f","g"],0.5209256523879862
["f","s"],0.8028064992614475
["f","t"],0.7602166420482521
["f","w"],0.9763663220088626
["c","y"],0.5837026095519449
["c","p"],0.8552437223042836
["c","f"],0.8552437223042836
["c","k"],0.5573609059576563
["c","e"],0.8197932053175776
["c","o"],0.8124076809453471
["c","n"],0.7331363860167405
["c","s"],0.6669128508124077
["c","t"],0.6184145741014279
["c","w"],0.8316100443131462
["k","p"],0.6469719350073855
["k","o"],0.604628261939931
["k","n"],0.5603151157065485
["k","w"],0.6410635155096012
["e","y"],0.5910881339241753
["e","p"],0.9645494830132939
["e","f"],0.9645494830132939
["e","k"],0.6469719350073855
["e","o"],0.8862629246676514
["e","n"],0.8778926637124569
["e","s"],0.7673559822747416
["e","t"],0.724766125061546
["e","w"],0.9409158050221565
["o","y"],0.5654849827671098
["o","p"],0.9217134416543574
["o","s"],0.7321516494337764
["o","t"],0.6863613983259478
["o","w"],0.8980797636632201
["n","y"],0.516248153618907
["n","p"],0.8778926637124569
["n","o"],0.7996061053668144
["n","s"],0.7516001969473166
["n","t"],0.7090103397341211
["n","w"],0.8542589857213195
["b","y"],0.5598227474150664
["b","p"],0.9470704086656819
["b","f"],0.9470704086656819
["b","c"],0.8023141309699655
["b","k"],0.6166912850812407
["b","e"],0.9116198916789758
["b","o"],0.8687838503200394
["b","n"],0.8249630723781388
["b","s"],0.7535696701132447
["b","t"],0.7287050713934022
["b","w"],0.9234367306745446
["g","p"],0.5209256523879862
["g","w"],0.5209256523879862
["s","t"],0.7333825701624815
["s","w"],0.7791728212703102
["t","w"],0.7602166420482521
["w","y"],0.5792712949286066
["p","s","t"],0.7333825701624815
["p","s","w"],0.7791728212703102
["p","t","w"],0.7602166420482521
["p","w","y"],0.5792712949286066
["f","p","y"],0.5910881339241753
["f","p","s"],0.8028064992614475
["f","p","t"],0.7602166420482521
["f","p","w"],0.9763663220088626
["f","k","p"],0.6469719350073855
["f","k","w"],0.6410635155096012
["f","k","o"],0.604628261939931
["f","k","n"],0.5603151157065485
["f","o","p"],0.9217134416543574
["f","o","y"],0.5654849827671098
["f","o","s"],0.7321516494337764
["f","o","t"],0.6863613983259478
["f","o","w"],0.8980797636632201
["f","n","p"],0.8778926637124569
["f","n","y"],0.516248153618907
["f","n","s"],0.7516001969473166
["f","n","t"],0.7090103397341211
["f","n","w"],0.8542589857213195
["f","n","o"],0.7996061053668144
["f","g","p"],0.5209256523879862
["f","g","w"],0.5209256523879862
["f","s","t"],0.7333825701624815
["f","s","w"],0.7791728212703102
["f","t","w"],0.7602166420482521
["f","w","y"],0.5792712949286066
["c","p","y"],0.5837026095519449
["c","p","s"],0.6669128508124077
["c","p","t"],0.6184145741014279
["c","p","w"],0.8316100443131462
["c","f","p"],0.8552437223042836
["c","f","y"],0.5837026095519449
["c","f","s"],0.6669128508124077
["c","f","t"],0.6184145741014279
["c","f","w"],0.8316100443131462
["c","f","k"],0.5573609059576563
["c","f","o"],0.8124076809453471
["c","f","n"],0.7331363860167405
["c","k","p"],0.5573609059576563
["c","k","w"],0.551452486459872
["c","k","o"],0.5445593303791236
["c","e","p"],0.8197932053175776
["c","e","y"],0.5837026095519449
["c","e","s"],0.6314623338257016
["c","e","t"],0.5829640571147218
["c","e","w"],0.7961595273264401
["c","e","f"],0.8197932053175776
["c","e","k"],0.5573609059576563
["c","e","o"],0.7769571639586411
["c","e","n"],0.7331363860167405
["c","o","p"],0.8124076809453471
["c","o","y"],0.5580994583948794
["c","o","s"],0.6294928606597735
["c","o","t"],0.5800098473658296
["c","o","w"],0.7887740029542097
["c","n","p"],0.7331363860167405
["c","n","y"],0.5088626292466765
["c","n","s"],0.6157065484982767
["c","n","t"],0.5672082717872969
["c","n","w"],0.7095027080256031
["c","n","o"],0.690300344657804
["c","s","t"],0.5997045790251108
["c","s","w"],0.6432791728212703
["c","t","w"],0.6184145741014279
["c","w","y"],0.5718857705563761
["k","p","w"],0.6410635155096012
["k","o","p"],0.604628261939931
["k","o","w"],0.5987198424421467
["k","n","p"],0.5603151157065485
