"itemSet","support"
590,9596
["p"],1
["f"],1
["c"],0.8552437223042836
["k"],0.6469719350073855
["e"],0.9645494830132939
["o"],0.9217134416543574
["n"],0.8778926637124569
["b"],0.9470704086656819
["s"],0.8028064992614475
["t"],0.7602166420482521
["w"],0.9763663220088626
["p","s"],0.8028064992614475
["p","t"],0.7602166420482521
["p","w"],0.9763663220088626
["f","p"],1
["f","k"],0.6469719350073855
["f","o"],0.9217134416543574
["f","n"],0.8778926637124569
["f","s"],0.8028064992614475
["f","t"],0.7602166420482521
["f","w"],0.9763663220088626
["c","p"],0.8552437223042836
["c","f"],0.8552437223042836
["c","e"],0.8197932053175776
["c","o"],0.8124076809453471
["c","n"],0.7331363860167405
["c","s"],0.6669128508124077
["c","t"],0.6184145741014279
["c","w"],0.8316100443131462
["k","p"],0.6469719350073855
["k","o"],0.604628261939931
["k","w"],0.6410635155096012
["e","p"],0.9645494830132939
["e","f"],0.9645494830132939
["e","k"],0.6469719350073855
["e","o"],0.8862629246676514
["e","n"],0.8778926637124569
["e","s"],0.7673559822747416
["e","t"],0.724766125061546
["e","w"],0.9409158050221565
["o","p"],0.9217134416543574
["o","s"],0.7321516494337764
["o","t"],0.6863613983259478
["o","w"],0.8980797636632201
["n","p"],0.8778926637124569
["n","o"],0.7996061053668144
["n","s"],0.7516001969473166
["n","t"],0.7090103397341211
["n","w"],0.8542589857213195
["b","p"],0.9470704086656819
["b","f"],0.9470704086656819
["b","c"],0.8023141309699655
["b","k"],0.6166912850812407
["b","e"],0.9116198916789758
["b","o"],0.8687838503200394
["b","n"],0.8249630723781388
["b","s"],0.7535696701132447
["b","t"],0.7287050713934022
["b","w"],0.9234367306745446
["s","t"],0.7333825701624815
["s","w"],0.7791728212703102
["t","w"],0.7602166420482521
["p","s","t"],0.7333825701624815
["p","s","w"],0.7791728212703102
["p","t","w"],0.7602166420482521
["f","p","s"],0.8028064992614475
["f","p","t"],0.7602166420482521
["f","p","w"],0.9763663220088626
["f","k","p"],0.6469719350073855
["f","k","w"],0.6410635155096012
["f","k","o"],0.604628261939931
["f","o","p"],0.9217134416543574
["f","o","s"],0.7321516494337764
["f","o","t"],0.6863613983259478
["f","o","w"],0.8980797636632201
["f","n","p"],0.8778926637124569
["f","n","s"],0.7516001969473166
["f","n","t"],0.7090103397341211
["f","n","w"],0.8542589857213195
["f","n","o"],0.7996061053668144
["f","s","t"],0.7333825701624815
["f","s","w"],0.7791728212703102
["f","t","w"],0.7602166420482521
["c","p","s"],0.6669128508124077
["c","p","t"],0.6184145741014279
["c","p","w"],0.8316100443131462
["c","f","p"],0.8552437223042836
["c","f","s"],0.6669128508124077
["c","f","t"],0.6184145741014279
["c","f","w"],0.8316100443131462
["c","f","o"],0.8124076809453471
["c","f","n"],0.7331363860167405
["c","e","p"],0.8197932053175776
["c","e","s"],0.6314623338257016
["c","e","w"],0.7961595273264401
["c","e","f"],0.8197932053175776
["c","e","o"],0.7769571639586411
["c","e","n"],0.7331363860167405
["c","o","p"],0.8124076809453471
["c","o","s"],0.6294928606597735
["c","o","w"],0.7887740029542097
["c","n","p"],0.7331363860167405
["c","n","s"],0.6157065484982767
["c","n","w"],0.7095027080256031
["c","n","o"],0.690300344657804
["c","s","w"],0.6432791728212703
["c","t","w"],0.6184145741014279
["k","p","w"],0.6410635155096012
["k","o","p"],0.604628261939931
["e","p","s"],0.7673559822747416
["e","p","t"],0.724766125061546
["e","p","w"],0.9409158050221565
["e","f","p"],0.9645494830132939
["e","f","s"],0.7673559822747416
["e","f","t"],0.724766125061546
["e","f","w"],0.9409158050221565
["e","f","k"],0.6469719350073855
["e","f","o"],0.8862629246676514
["e","f","n"],0.8778926637124569
["e","k","p"],0.6469719350073855
["e","k","w"],0.6410635155096012
["e","k","o"],0.604628261939931
["e","o","p"],0.8862629246676514
["e","o","s"],0.6967011324470704
["e","o","t"],0.6509108813392418
["e","o","w"],0.8626292466765141
["e","n","p"],0.8778926637124569
["e","n","s"],0.7516001969473166
["e","n","t"],0.7090103397341211
["e","n","w"],0.8542589857213195
["e","n","o"],0.7996061053668144
["e","s","t"],0.6979320531757754
["e","s","w"],0.7437223042836041
["e","t","w"],0.724766125061546
["o","p","s"],0.7321516494337764
["o","p","t"],0.6863613983259478
["o","p","w"],0.8980797636632201
["o","s","t"],0.6627277203348104
["o","s","w"],0.7085179714426391
["o","t","w"],0.6863613983259478
["n","p","s"],0.7516001969473166
["n","p","t"],0.7090103397341211
["n","p","w"],0.8542589857213195
["n","o","p"],0.7996061053668144
["n","o","s"],0.6809453471196455
["n","o","t"],0.6351550960118169
["n","o","w"],0.775972427375677
